transaction_id,date,time,amount,currency,account_id,merchant_name,merchant_city,merchant_country,channel,payment_method,transaction_type,status,notes
TXN001,2024-03-01,09:15:00,1500.00,INR,ACC001,Zomato,Mumbai,IN,UPI,UPI,DEBIT,SUCCESS,Lunch order
TXN002,2024-03-01,11:30:00,10000.00,USD,ACC002,Amazon,Delhi,IN,APP,CARD,DEBIT,SUCCESS,Electronics purchase
TXN003,2024-03-02,14:00:00,2500.00,INR,ACC003,DMart,Pune,IN,POS,CARD,DEBIT,SUCCESS,Monthly groceries
TXN004,2024-03-02,08:00:00,15000.00,INR,ACC001,,,IN,NET,NEFT,CREDIT,SUCCESS,Salary credit
TXN005,2024-03-03,10:00:00,500.00,INR,ACC004,Swiggy,Mumbai,IN,UPI,UPI,DEBIT,FAILED,Payment declined
TXN006,2024-03-03,13:00:00,75000.00,INR,ACC999,Mercedes Benz,Mumbai,IN,NET,NEFT,DEBIT,SUCCESS,Car service
TXN007,2024-03-04,09:00:00,200.00,INR,ACC887,Chai Point,Delhi,IN,UPI,UPI,DEBIT,SUCCESS,Morning tea
TXN008,2024-03-04,11:00:00,,INR,ACC002,Netflix,Mumbai,IN,APP,CARD,DEBIT,SUCCESS,Subscription
TXN009,2024-03-05,14:00:00,8500.00,XYZ,ACC003,Apollo Pharmacy,Bangalore,IN,POS,CARD,DEBIT,SUCCESS,Medicines
TXN010,2024-03-05,16:00:00,50000.00,INR,ACC009,Apple Store,Mumbai,IN,NET,NEFT,DEBIT,SUCCESS,iPhone
TXN001,2024-03-06,09:00:00,1500.00,INR,ACC001,Zomato,Mumbai,IN,UPI,UPI,DEBIT,SUCCESS,Duplicate entry
TXN011,2024-03-06,11:00:00,3500.00,INR,ACC443,Tanishq,Chennai,IN,POS,CARD,DEBIT,SUCCESS,Jewellery
